code,mets,major_heading_ja,activity_ja,major_heading_en,activity_en
21035,1.3,ボランティア活動,タイピング：電子タイプライター、手動タイプライター、コンピュータのキーボード,volunteer activities,"typing, electric, manual, or computer"
21040,2,ボランティア活動,歩行：3.2km/時(53m/分)未満、とてもゆっくり,volunteer activities,"walking, less than 2.0 mph, very slow"
21045,3.5,ボランティア活動,歩行：4.8km/時(80m/分)、ほどほどの速さ、何も持たずに,volunteer activities,"walking, 3.0 mph, moderate speed, not carrying anything"
21050,4.3,ボランティア活動,歩行：5.6km/時(93m/分)、速い、何も持たずに,volunteer activities,"walking, 3.5 mph, brisk speed, not carrying anything"
21055,3.5,ボランティア活動,歩行：4.0km/時(67m/分)、ゆっくりと、11.3kg以下のものを持ちながら,volunteer activities,"walking, 2.5 mph slowly and carrying objects less than 25 lbs"
21060,4.5,ボランティア活動,歩行：4.8km/時(80m/分)、ほどほどの速さ、11.3kg以下のものを持ちながら、何かを押しながら,volunteer activities,"walking, 3.0 mph moderately and carrying objects less than 25 lbs, pushing something"
21065,4.8,ボランティア活動,歩行：5.6km/時(93m/分)、速い、11.3kg以下のものを運ぶ,volunteer activities,"walking, 3.5 mph, briskly and carrying objects less than 25 lbs"
21070,3,ボランティア活動,歩行と立位の組み合わせ：ボランティア活動,volunteer activities,"walk/stand combination, for volunteer purposes"
22000,7,筋トレ,ジムでの高負荷筋トレ,,
22001,2.5,筋トレ,自重での低負荷筋トレ,,
